flight_id,airline,source,destination,departure_time,arrival_time,duration,duration_minutes,is_overnight,route,flight_instance_key,reject_reason,record_status,processed_at
UK027,Vistara,BOM,CCU,2026-04-20 22:44:41.701,2026-04-21 01:05:41.701,02:21:00,141.0,True,BOM-CCU,UK027_20260420224441,,accepted,2026-09-11 07:11:20.739575+00:00
AI069,Unknown,DEL,BOM,2026-04-20 22:43:41.702,2026-04-21 02:29:41.702,03:46:00,226.0,True,DEL-BOM,AI069_20260420224341,,accepted,2026-09-11 07:11:20.739575+00:00
AI058,Air India,BOM,CCU,2026-04-20 22:40:41.701,2026-04-21 00:18:41.701,01:38:00,98.0,True,BOM-CCU,AI058_20260420224041,,accepted,2026-09-11 07:11:20.739575+00:00
AI140,Air India,BOM,DEL,2026-04-20 22:25:41.702,2026-04-21 02:08:41.702,03:43:00,223.0,True,BOM-DEL,AI140_20260420222541,,accepted,2026-09-11 07:11:20.739575+00:00
SJ239,SpiceJet,BOM,CCU,2026-04-20 22:24:41.704,2026-04-21 00:10:41.704,01:46:00,106.0,True,BOM-CCU,SJ239_20260420222441,,accepted,2026-09-11 07:11:20.739575+00:00
6F099,IndiGo,MAA,DEL,2026-04-20 22:24:41.702,2026-04-20 22:59:41.702,00:35:00,35.0,False,MAA-DEL,6F099_20260420222441,,accepted,2026-09-11 07:11:20.739575+00:00
AI048,Air India,CCU,DEL,2026-04-20 22:23:41.701,2026-04-21 02:15:41.701,03:52:00,232.0,True,CCU-DEL,AI048_20260420222341,,accepted,2026-09-11 07:11:20.739575+00:00
SJ112,SpiceJet,HYD,DEL,2026-04-20 22:20:41.702,2026-04-21 00:40:41.702,02:20:00,140.0,True,HYD-DEL,SJ112_20260420222041,,accepted,2026-09-11 07:11:20.739575+00:00
6F164,IndiGo,BLR,BOM,2026-04-20 22:18:41.703,2026-04-21 00:45:41.703,02:27:00,147.0,True,BLR-BOM,6F164_20260420221841,,accepted,2026-09-11 07:11:20.739575+00:00
UK021,Vistara,HYD,MAA,2026-04-20 22:00:41.701,2026-04-20 23:50:41.701,01:50:00,110.0,False,HYD-MAA,UK021_20260420220041,,accepted,2026-09-11 07:11:20.739575+00:00
SJ172,SpiceJet,CCU,DEL,2026-04-20 21:58:41.703,2026-04-21 01:14:41.703,03:16:00,196.0,True,CCU-DEL,SJ172_20260420215841,,accepted,2026-09-11 07:11:20.739575+00:00
AI060,Air India,DEL,HYD,2026-04-20 21:58:41.701,2026-04-20 23:51:41.701,01:53:00,113.0,False,DEL-HYD,AI060_20260420215841,,accepted,2026-09-11 07:11:20.739575+00:00
SJ205,SpiceJet,HYD,CCU,2026-04-20 21:56:41.703,2026-04-20 23:00:41.703,01:04:00,64.0,False,HYD-CCU,SJ205_20260420215641,,accepted,2026-09-11 07:11:20.739575+00:00
SJ093,SpiceJet,BLR,BOM,2026-04-20 21:55:41.702,2026-04-20 23:01:41.702,01:06:00,66.0,False,BLR-BOM,SJ093_20260420215541,,accepted,2026-09-11 07:11:20.739575+00:00
6F195,IndiGo,CCU,DEL,2026-04-20 21:44:41.703,2026-04-20 22:39:41.703,00:55:00,55.0,False,CCU-DEL,6F195_20260420214441,,accepted,2026-09-11 07:11:20.739575+00:00
UK003,Unknown,HYD,DEL,2026-04-20 21:41:41.700,2026-04-21 02:19:41.700,04:38:00,278.0,True,HYD-DEL,UK003_20260420214141,,accepted,2026-09-11 07:11:20.739575+00:00
UK026,Vistara,HYD,MAA,2026-04-20 21:38:41.701,2026-04-20 23:44:41.701,02:06:00,126.0,False,HYD-MAA,UK026_20260420213841,,accepted,2026-09-11 07:11:20.739575+00:00
6F174,IndiGo,DEL,HYD,2026-04-20 21:36:41.703,2026-04-20 22:16:41.703,00:40:00,40.0,False,DEL-HYD,6F174_20260420213641,,accepted,2026-09-11 07:11:20.739575+00:00
UK067,Vistara,BOM,CCU,2026-04-20 21:36:41.701,2026-04-21 01:02:41.701,03:26:00,206.0,True,BOM-CCU,UK067_20260420213641,,accepted,2026-09-11 07:11:20.739575+00:00
SJ149,SpiceJet,HYD,MAA,2026-04-20 21:20:41.702,2026-04-20 23:20:42.000,02:00:00.298000,120.00496666666666,False,HYD-MAA,SJ149_20260420212041,,accepted,2026-09-11 07:11:20.739575+00:00
6F213,IndiGo,BLR,BOM,2026-04-20 21:05:41.703,2026-04-21 00:32:41.703,03:27:00,207.0,True,BLR-BOM,6F213_20260420210541,,accepted,2026-09-11 07:11:20.739575+00:00
UK200,Vistara,CCU,DEL,2026-04-20 20:54:41.703,2026-04-20 22:45:41.703,01:51:00,111.0,False,CCU-DEL,UK200_20260420205441,,accepted,2026-09-11 07:11:20.739575+00:00
SJ214,SpiceJet,BOM,MAA,2026-04-20 20:54:41.703,2026-04-20 22:10:41.703,01:16:00,76.0,False,BOM-MAA,SJ214_20260420205441,,accepted,2026-09-11 07:11:20.739575+00:00
SJ047,SpiceJet,HYD,BOM,2026-04-20 20:44:41.701,2026-04-20 21:21:41.701,00:37:00,37.0,False,HYD-BOM,SJ047_20260420204441,,accepted,2026-09-11 07:11:20.739575+00:00
AI179,Air India,HYD,BOM,2026-04-20 20:41:41.703,2026-04-21 01:19:41.703,04:38:00,278.0,True,HYD-BOM,AI179_20260420204141,,accepted,2026-09-11 07:11:20.739575+00:00
SJ153,SpiceJet,DEL,CCU,2026-04-20 20:37:41.702,2026-04-20 22:00:41.702,01:23:00,83.0,False,DEL-CCU,SJ153_20260420203741,,accepted,2026-09-11 07:11:20.739575+00:00
6F236,IndiGo,BOM,DEL,2026-04-20 20:35:41.704,2026-04-20 23:54:41.704,03:19:00,199.0,False,BOM-DEL,6F236_20260420203541,,accepted,2026-09-11 07:11:20.739575+00:00
UK059,Vistara,HYD,MAA,2026-04-20 20:33:41.701,2026-04-20 22:10:41.701,01:37:00,97.0,False,HYD-MAA,UK059_20260420203341,,accepted,2026-09-11 07:11:20.739575+00:00
SJ001,SpiceJet,BOM,MAA,2026-04-20 20:28:41.700,2026-04-21 01:15:41.700,04:47:00,287.0,True,BOM-MAA,SJ001_20260420202841,,accepted,2026-09-11 07:11:20.739575+00:00
SJ049,SpiceJet,CCU,DEL,2026-04-20 20:26:41.701,2026-04-21 00:26:41.701,04:00:00,240.0,True,CCU-DEL,SJ049_20260420202641,,accepted,2026-09-11 07:11:20.739575+00:00
6F086,IndiGo,MAA,HYD,2026-04-20 20:23:41.702,2026-04-20 21:00:41.702,00:37:00,37.0,False,MAA-HYD,6F086_20260420202341,,accepted,2026-09-11 07:11:20.739575+00:00
AI220,Air India,BOM,DEL,2026-04-20 20:19:41.703,2026-04-20 21:57:41.703,01:38:00,98.0,False,BOM-DEL,AI220_20260420201941,,accepted,2026-09-11 07:11:20.739575+00:00
AI188,Air India,CCU,HYD,2026-04-20 20:16:41.703,2026-04-20 23:02:41.703,02:46:00,166.0,False,CCU-HYD,AI188_20260420201641,,accepted,2026-09-11 07:11:20.739575+00:00
6F114,IndiGo,BOM,MAA,2026-04-20 20:10:41.702,2026-04-20 21:00:41.702,00:50:00,50.0,False,BOM-MAA,6F114_20260420201041,,accepted,2026-09-11 07:11:20.739575+00:00
SJ179,SpiceJet,DEL,HYD,2026-04-20 20:09:41.703,2026-04-20 23:39:41.703,03:30:00,210.0,False,DEL-HYD,SJ179_20260420200941,,accepted,2026-09-11 07:11:20.739575+00:00
6F190,IndiGo,DEL,MAA,2026-04-20 20:02:41.703,2026-04-21 00:36:41.703,04:34:00,274.0,True,DEL-MAA,6F190_20260420200241,,accepted,2026-09-11 07:11:20.739575+00:00
SJ003,SpiceJet,MAA,CCU,2026-04-20 19:50:41.701,2026-04-20 20:32:41.701,00:42:00,42.0,False,MAA-CCU,SJ003_20260420195041,,accepted,2026-09-11 07:11:20.739575+00:00
6F028,IndiGo,HYD,CCU,2026-04-20 19:49:41.701,2026-04-20 21:49:41.701,02:00:00,120.0,False,HYD-CCU,6F028_20260420194941,,accepted,2026-09-11 07:11:20.739575+00:00
UK036,Vistara,CCU,BLR,2026-04-20 19:48:41.701,2026-04-21 00:12:41.701,04:24:00,264.0,True,CCU-BLR,UK036_20260420194841,,accepted,2026-09-11 07:11:20.739575+00:00
SJ160,SpiceJet,MAA,BLR,2026-04-20 19:45:41.703,2026-04-20 20:30:41.703,00:45:00,45.0,False,MAA-BLR,SJ160_20260420194541,,accepted,2026-09-11 07:11:20.739575+00:00
6F151,IndiGo,CCU,HYD,2026-04-20 19:44:41.703,2026-04-20 22:04:41.703,02:20:00,140.0,False,CCU-HYD,6F151_20260420194441,,accepted,2026-09-11 07:11:20.739575+00:00
UK140,Vistara,MAA,BLR,2026-04-20 19:37:41.703,2026-04-20 21:00:41.703,01:23:00,83.0,False,MAA-BLR,UK140_20260420193741,,accepted,2026-09-11 07:11:20.739575+00:00
AI115,Air India,MAA,BLR,2026-04-20 19:37:41.702,2026-04-21 00:26:41.702,04:49:00,289.0,True,MAA-BLR,AI115_20260420193741,,accepted,2026-09-11 07:11:20.739575+00:00
AI132,Air India,BLR,BOM,2026-04-20 19:32:41.702,2026-04-20 21:41:41.702,02:09:00,129.0,False,BLR-BOM,AI132_20260420193241,,accepted,2026-09-11 07:11:20.739575+00:00
UK209,Unknown,MAA,BLR,2026-04-20 19:02:41.704,2026-04-20 21:47:41.704,02:45:00,165.0,False,MAA-BLR,UK209_20260420190241,,accepted,2026-09-11 07:11:20.739575+00:00
SJ043,Unknown,MAA,DEL,2026-04-20 18:59:41.701,2026-04-20 21:08:41.701,02:09:00,129.0,False,MAA-DEL,SJ043_20260420185941,,accepted,2026-09-11 07:11:20.739575+00:00
UK176,Vistara,HYD,BLR,2026-04-20 18:41:41.703,2026-04-20 22:49:41.703,04:08:00,248.0,False,HYD-BLR,UK176_20260420184141,,accepted,2026-09-11 07:11:20.739575+00:00
UK216,Vistara,MAA,HYD,2026-04-20 18:33:41.704,2026-04-20 21:47:41.704,03:14:00,194.0,False,MAA-HYD,UK216_20260420183341,,accepted,2026-09-11 07:11:20.739575+00:00
UK150,Vistara,DEL,CCU,2026-04-20 18:31:41.703,2026-04-20 19:01:41.703,00:30:00,30.0,False,DEL-CCU,UK150_20260420183141,,accepted,2026-09-11 07:11:20.739575+00:00
UK145,Vistara,BOM,HYD,2026-04-20 18:30:41.703,2026-04-20 20:41:41.703,02:11:00,131.0,False,BOM-HYD,UK145_20260420183041,,accepted,2026-09-11 07:11:20.739575+00:00
6F270,Unknown,HYD,MAA,2026-04-20 18:14:41.701,2026-04-20 19:02:41.701,00:48:00,48.0,False,HYD-MAA,6F270_20260420181441,,accepted,2026-09-11 07:11:20.739575+00:00
6F012,IndiGo,CCU,HYD,2026-04-20 18:06:41.701,2026-04-20 21:31:41.701,03:25:00,205.0,False,CCU-HYD,6F012_20260420180641,,accepted,2026-09-11 07:11:20.739575+00:00
SJ236,SpiceJet,MAA,BOM,2026-04-20 18:03:41.704,2026-04-20 22:02:41.704,03:59:00,239.0,False,MAA-BOM,SJ236_20260420180341,,accepted,2026-09-11 07:11:20.739575+00:00
6F149,IndiGo,BLR,CCU,2026-04-20 17:57:41.703,2026-04-20 20:42:41.703,02:45:00,165.0,False,BLR-CCU,6F149_20260420175741,,accepted,2026-09-11 07:11:20.739575+00:00
UK004,Vistara,BOM,CCU,2026-04-20 17:56:41.700,2026-04-20 18:30:41.700,00:34:00,34.0,False,BOM-CCU,UK004_20260420175641,,accepted,2026-09-11 07:11:20.739575+00:00
UK010,Vistara,MAA,HYD,2026-04-20 17:53:41.701,2026-04-20 20:40:41.701,02:47:00,167.0,False,MAA-HYD,UK010_20260420175341,,accepted,2026-09-11 07:11:20.739575+00:00
UK215,Vistara,BOM,DEL,2026-04-20 17:38:41.704,2026-04-20 19:50:41.704,02:12:00,132.0,False,BOM-DEL,UK215_20260420173841,,accepted,2026-09-11 07:11:20.739575+00:00
SJ116,SpiceJet,HYD,CCU,2026-04-20 17:33:41.702,2026-04-20 19:02:41.702,01:29:00,89.0,False,HYD-CCU,SJ116_20260420173341,,accepted,2026-09-11 07:11:20.739575+00:00
SJ023,SpiceJet,HYD,MAA,2026-04-20 17:27:41.701,2026-04-20 19:09:41.701,01:42:00,102.0,False,HYD-MAA,SJ023_20260420172741,,accepted,2026-09-11 07:11:20.739575+00:00
UK152,Vistara,BOM,CCU,2026-04-20 17:24:41.703,2026-04-20 20:13:41.703,02:49:00,169.0,False,BOM-CCU,UK152_20260420172441,,accepted,2026-09-11 07:11:20.739575+00:00
SJ202,SpiceJet,CCU,HYD,2026-04-20 17:21:41.703,2026-04-20 19:08:41.703,01:47:00,107.0,False,CCU-HYD,SJ202_20260420172141,,accepted,2026-09-11 07:11:20.739575+00:00
6F043,IndiGo,BOM,HYD,2026-04-20 17:17:41.701,2026-04-20 18:43:41.701,01:26:00,86.0,False,BOM-HYD,6F043_20260420171741,,accepted,2026-09-11 07:11:20.739575+00:00
UK173,Vistara,MAA,BLR,2026-04-20 17:06:41.703,2026-04-20 21:22:41.703,04:16:00,256.0,False,MAA-BLR,UK173_20260420170641,,accepted,2026-09-11 07:11:20.739575+00:00
SJ081,SpiceJet,BOM,BLR,2026-04-20 17:04:41.702,2026-04-20 18:53:41.702,01:49:00,109.0,False,BOM-BLR,SJ081_20260420170441,,accepted,2026-09-11 07:11:20.739575+00:00
UK153,Vistara,CCU,HYD,2026-04-20 16:52:41.703,2026-04-20 20:53:41.703,04:01:00,241.0,False,CCU-HYD,UK153_20260420165241,,accepted,2026-09-11 07:11:20.739575+00:00
UK187,Vistara,BLR,BOM,2026-04-20 16:52:41.703,2026-04-20 18:42:41.703,01:50:00,110.0,False,BLR-BOM,UK187_20260420165241,,accepted,2026-09-11 07:11:20.739575+00:00
UK055,Vistara,HYD,DEL,2026-04-20 16:48:41.701,2026-04-20 19:31:41.701,02:43:00,163.0,False,HYD-DEL,UK055_20260420164841,,accepted,2026-09-11 07:11:20.739575+00:00
UK181,Vistara,MAA,DEL,2026-04-20 16:44:41.703,2026-04-20 19:26:41.703,02:42:00,162.0,False,MAA-DEL,UK181_20260420164441,,accepted,2026-09-11 07:11:20.739575+00:00
UK074,Vistara,BOM,DEL,2026-04-20 16:44:41.702,2026-04-20 18:41:41.702,01:57:00,117.0,False,BOM-DEL,UK074_20260420164441,,accepted,2026-09-11 07:11:20.739575+00:00
SJ068,SpiceJet,BLR,BOM,2026-04-20 16:44:41.701,2026-04-20 18:48:41.701,02:04:00,124.0,False,BLR-BOM,SJ068_20260420164441,,accepted,2026-09-11 07:11:20.739575+00:00
AI242,Unknown,BLR,CCU,2026-04-20 16:41:41.704,2026-04-20 17:43:41.704,01:02:00,62.0,False,BLR-CCU,AI242_20260420164141,,accepted,2026-09-11 07:11:20.739575+00:00
SJ237,SpiceJet,BOM,CCU,2026-04-20 16:32:41.704,2026-04-20 19:00:41.704,02:28:00,148.0,False,BOM-CCU,SJ237_20260420163241,,accepted,2026-09-11 07:11:20.739575+00:00
6F194,IndiGo,BOM,CCU,2026-04-20 16:29:41.703,2026-04-20 18:27:41.703,01:58:00,118.0,False,BOM-CCU,6F194_20260420162941,,accepted,2026-09-11 07:11:20.739575+00:00
UK063,Vistara,DEL,BOM,2026-04-20 16:29:41.701,2026-04-20 17:41:41.701,01:12:00,72.0,False,DEL-BOM,UK063_20260420162941,,accepted,2026-09-11 07:11:20.739575+00:00
UK068,Vistara,BLR,MAA,2026-04-20 16:28:41.701,2026-04-20 18:09:41.701,01:41:00,101.0,False,BLR-MAA,UK068_20260420162841,,accepted,2026-09-11 07:11:20.739575+00:00
UK224,Unknown,CCU,MAA,2026-04-20 16:25:41.704,2026-04-20 20:24:41.704,03:59:00,239.0,False,CCU-MAA,UK224_20260420162541,,accepted,2026-09-11 07:11:20.739575+00:00
UK077,Unknown,HYD,BOM,2026-04-20 16:22:41.702,2026-04-20 18:00:41.702,01:38:00,98.0,False,HYD-BOM,UK077_20260420162241,,accepted,2026-09-11 07:11:20.739575+00:00
UK207,Vistara,MAA,CCU,2026-04-20 16:21:41.703,2026-04-20 17:36:41.703,01:15:00,75.0,False,MAA-CCU,UK207_20260420162141,,accepted,2026-09-11 07:11:20.739575+00:00
AI221,Air India,MAA,HYD,2026-04-20 16:18:41.703,2026-04-20 18:54:41.703,02:36:00,156.0,False,MAA-HYD,AI221_20260420161841,,accepted,2026-09-11 07:11:20.739575+00:00
UK109,Vistara,BLR,BOM,2026-04-20 16:06:41.702,2026-04-20 17:06:42.000,01:00:00.298000,60.00496666666666,False,BLR-BOM,UK109_20260420160641,,accepted,2026-09-11 07:11:20.739575+00:00
UK089,Vistara,BOM,HYD,2026-04-20 15:38:41.702,2026-04-20 19:50:41.702,04:12:00,252.0,False,BOM-HYD,UK089_20260420153841,,accepted,2026-09-11 07:11:20.739575+00:00
AI072,Air India,BLR,CCU,2026-04-20 15:34:41.702,2026-04-20 16:32:41.702,00:58:00,58.0,False,BLR-CCU,AI072_20260420153441,,accepted,2026-09-11 07:11:20.739575+00:00
UK131,Vistara,BOM,DEL,2026-04-20 15:33:41.702,2026-04-20 19:39:41.702,04:06:00,246.0,False,BOM-DEL,UK131_20260420153341,,accepted,2026-09-11 07:11:20.739575+00:00
SJ150,SpiceJet,BOM,HYD,2026-04-20 15:33:41.702,2026-04-20 19:03:41.702,03:30:00,210.0,False,BOM-HYD,SJ150_20260420153341,,accepted,2026-09-11 07:11:20.739575+00:00
6F097,IndiGo,BLR,BOM,2026-04-20 15:32:41.702,2026-04-20 16:49:41.702,01:17:00,77.0,False,BLR-BOM,6F097_20260420153241,,accepted,2026-09-11 07:11:20.739575+00:00
6F123,IndiGo,DEL,HYD,2026-04-20 15:26:41.702,2026-04-20 17:12:41.702,01:46:00,106.0,False,DEL-HYD,6F123_20260420152641,,accepted,2026-09-11 07:11:20.739575+00:00
6F017,IndiGo,CCU,BOM,2026-04-20 15:25:41.701,2026-04-20 18:06:41.701,02:41:00,161.0,False,CCU-BOM,6F017_20260420152541,,accepted,2026-09-11 07:11:20.739575+00:00
6F245,IndiGo,CCU,BOM,2026-04-20 15:25:41.701,2026-04-20 18:06:41.701,02:41:00,161.0,False,CCU-BOM,6F245_20260420152541,,accepted,2026-09-11 07:11:20.739575+00:00
6F180,IndiGo,MAA,BLR,2026-04-20 15:24:41.703,2026-04-20 19:48:41.703,04:24:00,264.0,False,MAA-BLR,6F180_20260420152441,,accepted,2026-09-11 07:11:20.739575+00:00
6F152,IndiGo,CCU,DEL,2026-04-20 15:21:41.703,2026-04-20 17:25:41.703,02:04:00,124.0,False,CCU-DEL,6F152_20260420152141,,accepted,2026-09-11 07:11:20.739575+00:00
SJ034,SpiceJet,MAA,BOM,2026-04-20 15:20:41.701,2026-04-20 20:11:41.701,04:51:00,291.0,False,MAA-BOM,SJ034_20260420152041,,accepted,2026-09-11 07:11:20.739575+00:00
SJ142,SpiceJet,CCU,BOM,2026-04-20 15:14:41.702,2026-04-20 16:56:41.702,01:42:00,102.0,False,CCU-BOM,SJ142_20260420151441,,accepted,2026-09-11 07:11:20.739575+00:00
UK189,Vistara,BLR,MAA,2026-04-20 15:07:41.703,2026-04-20 18:51:41.703,03:44:00,224.0,False,BLR-MAA,UK189_20260420150741,,accepted,2026-09-11 07:11:20.739575+00:00
SJ044,SpiceJet,DEL,CCU,2026-04-20 15:06:41.701,2026-04-20 17:43:41.701,02:37:00,157.0,False,DEL-CCU,SJ044_20260420150641,,accepted,2026-09-11 07:11:20.739575+00:00
SJ196,SpiceJet,DEL,HYD,2026-04-20 14:58:41.703,2026-04-20 17:44:41.703,02:46:00,166.0,False,DEL-HYD,SJ196_20260420145841,,accepted,2026-09-11 07:11:20.739575+00:00
6F188,IndiGo,DEL,HYD,2026-04-20 14:57:41.703,2026-04-20 19:39:41.703,04:42:00,282.0,False,DEL-HYD,6F188_20260420145741,,accepted,2026-09-11 07:11:20.739575+00:00
6F181,IndiGo,BOM,MAA,2026-04-20 14:55:41.703,2026-04-20 16:43:41.703,01:48:00,108.0,False,BOM-MAA,6F181_20260420145541,,accepted,2026-09-11 07:11:20.739575+00:00
6F077,IndiGo,CCU,DEL,2026-04-20 14:55:41.702,2026-04-20 19:13:41.702,04:18:00,258.0,False,CCU-DEL,6F077_20260420145541,,accepted,2026-09-11 07:11:20.739575+00:00
SJ154,SpiceJet,BLR,HYD,2026-04-20 14:47:41.702,2026-04-20 16:26:41.702,01:39:00,99.0,False,BLR-HYD,SJ154_20260420144741,,accepted,2026-09-11 07:11:20.739575+00:00
AI025,Air India,HYD,DEL,2026-04-20 14:46:41.701,2026-04-20 17:11:41.701,02:25:00,145.0,False,HYD-DEL,AI025_20260420144641,,accepted,2026-09-11 07:11:20.739575+00:00
AI094,Air India,DEL,BLR,2026-04-20 14:44:41.702,2026-04-20 15:44:42.000,01:00:00.298000,60.00496666666666,False,DEL-BLR,AI094_20260420144441,,accepted,2026-09-11 07:11:20.739575+00:00
6F191,IndiGo,BLR,DEL,2026-04-20 14:41:41.703,2026-04-20 15:11:41.703,00:30:00,30.0,False,BLR-DEL,6F191_20260420144141,,accepted,2026-09-11 07:11:20.739575+00:00
SJ085,SpiceJet,BLR,MAA,2026-04-20 14:41:41.702,2026-04-20 19:11:41.702,04:30:00,270.0,False,BLR-MAA,SJ085_20260420144141,,accepted,2026-09-11 07:11:20.739575+00:00
6F261,Unknown,CCU,DEL,2026-04-20 14:31:41.703,2026-04-20 17:29:41.703,02:58:00,178.0,False,CCU-DEL,6F261_20260420143141,,accepted,2026-09-11 07:11:20.739575+00:00
6F129,IndiGo,DEL,CCU,2026-04-20 14:28:41.702,2026-04-20 16:47:41.702,02:19:00,139.0,False,DEL-CCU,6F129_20260420142841,,accepted,2026-09-11 07:11:20.739575+00:00
6F254,Unknown,MAA,BLR,2026-04-20 14:26:41.703,2026-04-20 18:01:41.703,03:35:00,215.0,False,MAA-BLR,6F254_20260420142641,,accepted,2026-09-11 07:11:20.739575+00:00
SJ185,SpiceJet,BOM,CCU,2026-04-20 14:21:41.703,2026-04-20 15:21:41.703,01:00:00,60.0,False,BOM-CCU,SJ185_20260420142141,,accepted,2026-09-11 07:11:20.739575+00:00
6F030,IndiGo,BOM,DEL,2026-04-20 14:20:41.701,2026-04-20 17:10:41.701,02:50:00,170.0,False,BOM-DEL,6F030_20260420142041,,accepted,2026-09-11 07:11:20.739575+00:00
SJ222,SpiceJet,BOM,DEL,2026-04-20 14:15:41.703,2026-04-20 17:09:41.703,02:54:00,174.0,False,BOM-DEL,SJ222_20260420141541,,accepted,2026-09-11 07:11:20.739575+00:00
6F259,Unknown,BOM,DEL,2026-04-20 14:10:41.703,2026-04-20 15:21:41.703,01:11:00,71.0,False,BOM-DEL,6F259_20260420141041,,accepted,2026-09-11 07:11:20.739575+00:00
UK083,Vistara,DEL,HYD,2026-04-20 14:10:41.702,2026-04-20 14:59:41.702,00:49:00,49.0,False,DEL-HYD,UK083_20260420141041,,accepted,2026-09-11 07:11:20.739575+00:00
6F051,IndiGo,BLR,BOM,2026-04-20 13:58:41.701,2026-04-20 15:58:41.701,02:00:00,120.0,False,BLR-BOM,6F051_20260420135841,,accepted,2026-09-11 07:11:20.739575+00:00
SJ088,SpiceJet,CCU,MAA,2026-04-20 13:54:41.702,2026-04-20 14:26:41.702,00:32:00,32.0,False,CCU-MAA,SJ088_20260420135441,,accepted,2026-09-11 07:11:20.739575+00:00
6F146,IndiGo,HYD,MAA,2026-04-20 13:51:41.703,2026-04-20 15:07:41.703,01:16:00,76.0,False,HYD-MAA,6F146_20260420135141,,accepted,2026-09-11 07:11:20.739575+00:00
6F047,IndiGo,MAA,DEL,2026-04-20 13:50:41.701,2026-04-20 15:55:41.701,02:05:00,125.0,False,MAA-DEL,6F047_20260420135041,,accepted,2026-09-11 07:11:20.739575+00:00
AI077,Air India,CCU,HYD,2026-04-20 13:45:41.702,2026-04-20 14:51:41.702,01:06:00,66.0,False,CCU-HYD,AI077_20260420134541,,accepted,2026-09-11 07:11:20.739575+00:00
UK134,Vistara,HYD,CCU,2026-04-20 13:44:41.702,2026-04-20 17:26:41.702,03:42:00,222.0,False,HYD-CCU,UK134_20260420134441,,accepted,2026-09-11 07:11:20.739575+00:00
AI056,Air India,DEL,MAA,2026-04-20 13:44:41.701,2026-04-20 17:39:41.701,03:55:00,235.0,False,DEL-MAA,AI056_20260420134441,,accepted,2026-09-11 07:11:20.739575+00:00
UK141,Unknown,HYD,MAA,2026-04-20 13:38:41.703,2026-04-20 15:59:41.703,02:21:00,141.0,False,HYD-MAA,UK141_20260420133841,,accepted,2026-09-11 07:11:20.739575+00:00
AI030,Air India,CCU,HYD,2026-04-20 13:33:41.701,2026-04-20 16:52:41.701,03:19:00,199.0,False,CCU-HYD,AI030_20260420133341,,accepted,2026-09-11 07:11:20.739575+00:00
AI029,Air India,MAA,DEL,2026-04-20 13:29:41.701,2026-04-20 17:53:41.701,04:24:00,264.0,False,MAA-DEL,AI029_20260420132941,,accepted,2026-09-11 07:11:20.739575+00:00
