payment_id,booking_id,amount,payment_method,reject_reason,record_status,processed_at
PAY1263,B1530,1108.98,CARD,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1269,B1660,,CARD,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1273,B1341,,NETBANKING,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1281,B1045,2330.65,NETBANKING,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1283,B1118,,NETBANKING,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1285,B1530,14300.97,NETBANKING,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1290,B1605,,CARD,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1295,B1743,4062.36,NETBANKING,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1296,B1045,4401.56,UPI,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1301,B1525,7869.06,UPI,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1311,B1930,,UPI,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1317,B1388,10389.84,NETBANKING,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1323,B1314,,NETBANKING,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1324,B1238,3231.46,UPI,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1328,B1990,,UPI,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1339,B1015,12008.1,CARD,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1344,B1389,,NETBANKING,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1361,B1702,,NETBANKING,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1387,B1997,,UPI,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1392,B1359,,CARD,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1408,B1146,,UPI,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1428,B1490,,CARD,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1432,B1102,14361.62,CARD,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1433,B1225,,CARD,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1448,B1235,,NETBANKING,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1450,B1227,,CARD,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1456,B1342,,NETBANKING,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1459,B1438,7670.85,UPI,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1460,B1178,,NETBANKING,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1471,B1860,2531.6,UPI,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1473,B1279,5467.05,UPI,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1478,B1508,2603.09,CARD,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1488,B1763,,CARD,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1515,B1860,6999.9,NETBANKING,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1534,B1010,,NETBANKING,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1543,B1607,10198.91,CARD,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1548,B1896,,CARD,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1552,B1508,4799.03,CARD,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1564,B1396,1731.44,CARD,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1568,B1932,,UPI,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1576,B1581,,UPI,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1581,B1531,,UPI,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1590,B1144,,CARD,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1591,B1568,,NETBANKING,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1595,B1268,13289.27,CARD,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1599,B1517,,CARD,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1615,B1730,,NETBANKING,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1623,B1111,,NETBANKING,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1631,B1530,13655.72,CARD,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1639,B1245,3162.91,CARD,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1643,B1395,10317.13,NETBANKING,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1644,B1521,,UPI,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1651,B1273,3873.81,CARD,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1657,B1821,,UPI,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1664,B1033,,UPI,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1675,B1654,12116.85,NETBANKING,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1677,B1756,,NETBANKING,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1683,B1045,,NETBANKING,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1689,B1983,9117.5,CARD,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1694,B1015,7601.56,CARD,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1700,B1140,,CARD,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1704,B1446,,UPI,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1705,B1289,,UPI,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1706,B1208,9105.12,NETBANKING,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1710,B1426,,CARD,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1721,B1254,,UPI,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1726,B1357,6983.72,UPI,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1727,B1607,2887.17,NETBANKING,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1734,B1388,12160.17,UPI,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1739,B1443,,UPI,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1742,B1532,,CARD,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1748,B1821,,CARD,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1756,B1699,,NETBANKING,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1757,B1056,,CARD,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1766,B1923,,UPI,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1768,B1098,10455.66,CARD,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1773,B1975,7791.01,CARD,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1778,B1576,,CARD,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1788,B1614,6159.25,UPI,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1804,B1769,1168.88,CARD,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1817,B1367,,UPI,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1832,B1173,,UPI,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1838,B1241,,NETBANKING,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1842,B1401,2700.51,UPI,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1850,B1369,,CARD,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1852,B1151,,CARD,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1855,B1999,2806.06,NETBANKING,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1861,B1769,1296.41,UPI,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1874,B1636,14700.1,NETBANKING,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1885,B1401,7755.08,CARD,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1890,B1272,,UPI,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1897,B1106,,UPI,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1902,B1483,10562.26,CARD,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1921,B1514,,UPI,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1922,B1192,,UPI,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1925,B1872,,NETBANKING,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1928,B1208,12966.45,CARD,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1930,B1033,7723.56,UPI,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1948,B1283,7236.69,CARD,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1949,B1376,,UPI,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1961,B1585,,UPI,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1981,B1324,,CARD,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
PAY1985,B1396,14467.69,CARD,invalid_booking_reference,rejected,2026-09-11 07:11:20.750354+00:00
PAY1992,B1997,,CARD,invalid_payment_amount,rejected,2026-09-11 07:11:20.750354+00:00
