booking_id,passenger_key,flight_id,booking_date,status,record_status,reject_reason,processed_at
B1044,e18af6500917bbbc8ba9fece7299b6ca4c561bdfee04a1f49f584afd0a104ef7,6F174,2026-04-12 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1046,b2f001077f80146f6789c203094e1946e8af4c1eccf3bac1e2513657b0ecfc6b,UK059,2025-10-14 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1047,58cee2edfcf7f7a5f14327ada0e5b5ae65566d94ec9a11c64a6bbfde0b2afd6a,6F151,2025-12-29 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1048,d1356b44bba34cc384a19cea4943fc09977214cba2b977cacd5464e7311ad240,SJ236,2025-09-19 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1050,3d1b8d936a59e827768f1fd68d7d36c9f2c15ee6710a1e4455ee828856dd2bb7,AI220,2026-01-15 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1051,2ef8603b9ef844250dc5d7cbbbd9ec1c59acc800f2d6f028cca961cea169fc19,6F028,2025-07-05 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1052,30bfdc8d1d1d2f28ec5826ea2b0ce05233663c3ece7e284045fcbfaeea663300,UK209,2025-12-30 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1053,64b15cfdb2ef129c4b355f53c95e9b9626da1cd59050b0fcdbf78235e9e6ddb3,UK216,2026-04-01 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1054,dcd590f2f6b9075979f2b062fc472262e7e9af73f86a4ffb8b7547ac437c0e1e,AI132,2026-04-11 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1055,a737c691fc2282a468488d44d32b93975ec0e25ff929689acce3bd67450ca6a8,6F012,2025-10-14 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1056,4832ced0a54904db67260c33ef1d337ed0f397a940bc0452f36037cc4df40451,UK173,2026-03-24 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1057,de5eb00b6be507a3529a84b9942898cb11445eec634de4504acc9b15ec0b9b18,SJ047,2025-08-20 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1058,2dce5e039143bb05f4c3ceb453e08a9d187d2ed459b64d202eedc54b97daa9a4,SJ043,2025-12-07 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1059,f8cdd1f64e3db6d7220b3dccc384356f36b0c97fde35f6c81cb7ccb76e9a2f31,UK140,2026-01-03 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1060,ccc7e28ec5a8c8d538d292955185713a6602323ac3664a4361e52d2245080119,6F086,2025-12-30 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1061,1ba00c140fc77c6aea04068a4574906a372275446a4b7e8a1f1a84373f3843b5,6F114,2026-04-05 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1062,b0204798f1b68a84e4eeaea1143ae4839db5f1c87c8ac2818fe6a85d35fb7cef,UK153,2025-06-12 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1063,48d6fbaa827ff9d16f0a92bc9f93be8a1ab34277f54dfcab8e3d3de037b54b21,6F149,2025-05-19 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1064,1381856e99251d0243066f6304fa6cb572c6b53181a0b980b033cecaef6ac697,UK145,2025-09-14 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1065,0d5e13493e81e1ca5563f262ca32d89b5810cc0b9e8cfda962e28224a345f382,UK010,2026-03-06 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1066,6a85491c76c328ea5ebec3c615489c844dd46f8d53c32a92cc7a93662a88b5e2,SJ003,2025-11-05 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1067,de8f5767c2eb7e3bd8323299f8d7f329aec65e543bf9532d311d03056608686d,SJ160,2025-07-23 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1068,7abaf2d173b3a291393fc098f9d9eb0f68cc642be0739080821a56d9706dc47d,UK224,2025-11-22 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1069,39795c765d0f2268fdaf3bb12acf1fd095c5c399f4d19e79ca7d5e3bdf23a8d4,UK152,2025-08-02 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1070,64b15cfdb2ef129c4b355f53c95e9b9626da1cd59050b0fcdbf78235e9e6ddb3,SJ034,2025-09-22 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1071,d441f7735d58781642b62233c5d6137ee6bdd36b0feb8869a98b9ce0b449a871,UK215,2025-12-21 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1072,8bca367967fbb829ca70fbaf351af7eb94b876156429d03b75289b69b838fbb9,UK089,2025-08-10 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1073,36056c926b92fabe73c1150a66df88b61be44ddf01c7b99b19f89d3013347bab,6F180,2025-12-04 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1074,f942a3b87796d3f50af546c34a3974a56abe065b56ea2552599d75a76506291f,6F188,2025-09-25 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1075,e7ee386bc3c52c0a81ae0034c3824fb28018e34c36f71d7011818af757577d9c,UK131,2026-01-03 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1076,0a7e8342a941e87f546e455b0fc951896f010c93dd039691dae1345903fa9fc9,UK055,2025-05-04 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1077,1dd6b47657716b59cb22fd22ae67ad7748ff173b0c41c193a2789cfd96c1db1d,UK181,2025-05-03 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1078,10e0f7517257380c473733220a034a9284d1c0f8df7b0567fb42b92614dfbc77,6F077,2025-09-21 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1079,0c86047beef367b791b6da6bc94b3772cb6f613c2a4cc6b276180aeea9d4b35e,SJ085,2025-06-03 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1080,7e929b499c04a7d1b07dd4f78b151797a39f6a323702f2b715c54dd8792c1015,SJ023,2025-06-05 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1081,9b0649295a9d5b1c4754b4fdd2bf84d79d8dd79f22fe9ffa52cdfe467459696c,SJ202,2025-11-13 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1082,35d24dccf0cf566dc371a45707040e2d9bac802f1e4485a954ad678f7ce45a29,SJ150,2025-09-09 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1083,0209970ef57bf2d868068b32655d47f550d01fc9c499f829601f51eed38e2825,SJ116,2025-05-12 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1084,279b8bcf5dc2270dfb9c59c4f76564eab90ea31364733c3a8e8ef9dec40ba5a5,6F270,2025-06-14 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1085,f4acdb655de5b4a0b92e4a51785afb63b467b6caf8849130fd795ea3168039e5,UK150,2026-03-24 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1086,d4400717a61623e3b28abd1f0707dfa337b8ae9a2d06ece4b3c3817a7686d4fc,SJ237,2026-02-16 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1087,29052ccec828dbd8d2dc54d657a1c7d58766f701f0cd42dccd20a910b1d76600,AI221,2025-05-08 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1088,aaf3d76e0bd4c3a53fc21ad72a88718f612ee377d9cf132ead60f3e586f3df1e,SJ081,2026-03-25 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1089,3fce6e2ff9159e70d72535d5250fa0f24359c324d789745b9e5223a69a7466a3,UK189,2025-09-03 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1090,e06dab291f82ef5eff956115d18c08ff1302ce1b33eebe2c89f2c6ead52cb5ff,SJ068,2025-05-16 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1091,37ef5e07cd991a00edb308104950db148c43e2b174360a1c9e71bd4c261d999c,6F043,2025-08-18 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1092,4fa4db7e4db3817bf07ff338d9eeb4411cbbe9040aced66ad496e6594fe06e9c,UK187,2026-03-18 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1093,6cf0211955eb809f210fe3cc88535d4d2919039d916a49615b631d10b26858a1,UK074,2025-05-11 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1094,a10028a0d2012db61d90ef1976a06d118eb27e7e5cfd94fbbff6151a8efc6d55,UK004,2026-01-07 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1095,8147c618c0da90817c143d62b40326cc3a0e60c22f007b0d5fe9ab6142c49e90,6F194,2025-07-30 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1096,60cf5a31b9f345d4b87275ca61dd53e6517ba8c67fcfe8c2872e48e5f7152525,UK068,2026-01-03 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1099,5f6517497e48e3c5ea5be96ba23874050ee5b55b13f8dac36a1861adada5d251,6F254,2025-12-07 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1100,76db5aea3b6b233584db9dd4995a4542ba51f2895ab5d5ecd30afbc2ed431c79,UK077,2026-03-05 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1101,b9321e2bdef7ef53c3be4638b68538e99419d9b6e3587cfff31c5e62ee57258d,AI029,2025-07-19 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1103,1dd6b47657716b59cb22fd22ae67ad7748ff173b0c41c193a2789cfd96c1db1d,AI242,2025-08-08 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1104,c3aa8402be83f22f03888b8a2c35ed7f73cc14fcc00a0f3a14cde13fb81a8fe7,AI242,2025-09-12 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1105,c78ea740da9be95e3053e860f52e4ddbd39fc438a11caf2b7c23e9c798d7deba,SJ044,2025-09-11 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1106,6b2f475cc8c9a2c8445bc4210ee15f95df0f9514155abfc69a8331bfa5aff335,UK063,2025-09-01 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1107,1dd6b47657716b59cb22fd22ae67ad7748ff173b0c41c193a2789cfd96c1db1d,AI056,2025-05-19 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1108,666758db8b7542ed05e1fd85481901ecc489dc49fa2aaca0323c63701e8927cd,UK207,2025-10-11 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1109,10b32db5b9526036de158a63d33785ceae5ced5d25dc682d14594e357c63d0ac,UK166,2025-12-03 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1110,77ee57c28e9dd77f48ad9c86749aab3ecff39ba5a9a5ff820925254bf72576db,6F261,2025-12-17 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1111,9426a36d00faf150c42caaccd30079799efe83e727282507aa4a2a1e228e688e,UK134,2025-12-25 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1112,f40f2a3a4d5194f711459d19a504a8e5ee88d45ecca326082187b9d8ffc428b6,6F152,2025-10-02 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1113,8a03fda1ed466bede92b972ec8517d6c0677d5c75f45bbcb0ae5f68eb8f98877,SJ089,2025-11-23 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1114,1bf5826060cdd76ba799eee12737a900cfa1cf0e2ff911aa3b3c513141234cfc,6F123,2025-09-26 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1115,773896000f481ceffff3bececbd8656d245ed28ede2471640e1ffdd750f63a26,AI025,2025-08-23 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1116,710ce26c272b55b8c8c8b9865835a77112dbd1d3ed3f3744d0509cdcb13a234c,6F030,2025-12-05 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1117,87e3033affbf907e44231a6be4a04fc0c5b905b79fedcbde396d9ef97776ee04,SJ222,2025-09-02 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1118,d2ccc33e4ba344605b1732188802d3f420fecdef1f133c1607aaa8fbc8c75092,UK109,2026-04-03 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1119,b82ef73887381583148a8412ad5b47b40c862ddde1850e97352659910a75867b,SJ117,2025-11-25 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1120,0040c0bad1ef88654de37418e9198e70695ff76ee6941d4ac34e1ed9d478bc79,SJ142,2025-08-12 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1121,7e605c2b94df0bd196989041d4aa94be12192955faeb6a52c184f3ebac3aef90,SJ142,2025-06-01 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1122,04f6acbaafc7dd8e7b9465bbe76ccfc883b473bf655c64a67925f25d9cd6bfe6,AI030,2025-05-02 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1123,ae5e10d19d5904be81fabe76880f7723537432d5b6751ba665ed531eca8265ad,6F097,2025-09-23 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1124,7d2224c7945ef2fd54cf8d1ee5b9c66a279de33cbd7172492ba41a61d4ae9586,6F129,2025-05-23 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1125,ede84d8736c50c6f03a165bdb8c6d22cf8cb25d9e282451aea6c38deb1b38a4d,6F181,2026-01-15 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1126,40a97379060609bdd452c24adc4b156c1ff770a056631e412a3607999f9ee8f4,AI072,2025-10-20 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1127,49b082dc72d8c6cd5b8267e5efd314da4be5649ba8185d8b314f298fbf9db9e9,SJ154,2025-06-29 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1128,f85efa7bf13dac0ea299c0cae6dc30d48813931829034e214ac890f2ff2d394d,AI031,2026-04-08 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1129,30428bcb8350cd8e02ca06037d126e75b95d9a3331a7d95aa1675ad106408f77,AI031,2025-09-18 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1130,75657b7a56a2be99d34ae66ed0f9200c2f10cdc9d193d3ffed9d0480b3a2889f,6F158,2025-12-26 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1131,a2187b25a0cbea449fd5e1b8e0294405f4ec4580d466eb4f3aa6f7ed0b34c117,6F184,2025-06-16 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1132,da2b75a920d5ad96e60267d18967deb8b68d721ebcbd1215ab4fcd3a54ee3898,UK141,2025-06-20 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1133,10d6e33f061361e9f4afa87809d26ba844117268c5c7c58e78e60388f633b4f2,6F168,2025-12-29 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1134,c2214ee40b43b4b3548d647dba7d76146041eb8cf858351aa650f25b65fc67e5,6F051,2025-07-28 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1135,16e0544f3ee60b13ad81a6af2c2fe597f45e7304eb9e680cae495845a055827a,6F047,2025-12-02 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1136,0a7e8342a941e87f546e455b0fc951896f010c93dd039691dae1345903fa9fc9,UK156,2025-10-26 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1137,b9b94887093a0b5d1e799e9ffd5c38e779e311c924fc3cdbe77c5a31ba21e183,AI094,2025-09-01 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1138,af69b7bd90164380b285302f1d91b4327beca5f036dca5e8f9b71f9930d483cf,AI038,2025-07-14 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1139,b14f459679d3dcf7cd2dd9f0b349c30b33d5d39c436086c5d738d61ff4d1551f,6F255,2026-01-19 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1140,4323e19cbf47435c70ccf4c4d732e8f5eac0625ffa4e945df7bbf6340a596847,SJ025,2026-01-23 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1141,a93ae770d705e361304db3fd9066228f74b58b5b17e9a1a38a3a951a8e3ffd05,SJ185,2025-10-28 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1142,80a53d0a98ccdcd4e8920ab98d3ad90348525f364b40015c46814f2b254a3f4b,6F259,2026-01-21 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1143,b1d56b4194d1f376db1407828e4bcbf9b8da3584817d1043666ce68b4c1714ea,6F073,2026-04-07 11:37:36.951,CANCELLED,accepted,,2026-09-11 07:11:20.746785+00:00
B1144,18f4d801793ca1355dc0974870f06b6c98b2b8e40a188dbaf44b2d658a99f64c,AI091,2025-09-26 11:37:36.951,CONFIRMED,accepted,,2026-09-11 07:11:20.746785+00:00
B1145,49bb6da47d7a25b60b28f17c3cf7350e3d0dc1b879e235900e6a6a4f5a426a66,6F191,2025-08-23 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1146,8c58a24c28c3d49f4ac6d21f091baa49050f3758f047016d2d4eceb351457d9f,UK228,2025-08-30 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
B1147,bd61f51224fc538aacaf0b2dc77f1454adb2aa217ab829cd51233cc0ba03f494,6F146,2026-03-25 11:37:36.951,PENDING,accepted,,2026-09-11 07:11:20.746785+00:00
